,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,dados_churn
0,826,0,1,26,5,142662.68,1,0,0,60285.3,0,3,0,334,0
1,747,1,1,36,8,102603.3,2,1,1,180693.61,0,3,1,751,0
2,707,2,1,32,9,0.0,2,1,0,126475.79,0,2,2,947,0
3,590,2,1,37,1,0.0,2,0,0,133535.99,0,2,1,930,0
4,603,2,1,57,6,105000.85,2,1,1,87412.24,1,3,0,281,1
5,615,0,1,45,5,0.0,2,1,1,164886.64,0,4,0,537,0
6,634,0,0,36,1,69518.95,1,1,0,116238.39,0,5,2,541,0
7,716,1,1,41,8,126145.54,2,1,1,138051.19,0,5,3,992,0
8,647,0,1,41,4,138937.35,1,1,1,101617.64,1,5,0,918,1
9,591,1,0,44,10,113581.98,1,1,0,1985.41,0,5,1,645,0
10,574,0,1,34,1,112572.39,1,0,0,165626.6,0,3,1,788,0
11,467,1,1,51,10,114514.71,2,1,0,177784.68,1,2,3,681,1
12,701,0,0,35,2,0.0,2,1,1,65765.22,0,5,2,939,0
13,747,0,0,34,10,0.0,2,1,1,50759.8,0,3,1,740,0
14,650,0,1,32,2,84906.45,1,1,0,163216.48,0,1,1,902,0
15,731,2,0,39,2,126816.18,1,1,1,74850.93,0,1,3,403,0
16,638,1,0,26,1,105249.76,2,1,1,23491.09,0,4,3,711,0
17,569,2,1,41,2,0.0,2,1,0,134272.57,0,5,3,991,0
18,459,1,1,50,5,109387.9,1,1,0,155721.15,0,3,2,894,0
19,632,1,1,23,3,122478.51,1,1,0,147230.77,1,5,2,390,1
20,683,0,0,73,8,137732.23,2,1,1,133210.44,0,4,2,959,0
21,850,0,0,46,2,157866.77,1,1,1,18986.12,0,3,1,482,0
22,512,0,0,41,6,0.0,1,1,1,100507.81,0,3,2,920,0
23,616,0,0,31,3,136789.14,1,1,0,59346.4,1,1,2,861,1
24,664,0,1,36,1,0.0,2,1,1,95372.64,0,4,2,507,0
25,694,0,1,30,10,144684.03,1,1,1,31805.49,0,5,0,412,0
26,655,0,1,24,9,107065.31,1,1,1,51959.82,0,5,1,873,0
27,607,0,0,33,8,91301.72,1,0,1,130824.57,0,5,0,480,0
28,684,2,1,39,4,207034.96,2,0,0,157694.76,1,4,0,800,1
29,763,2,1,37,8,0.0,2,1,1,933.38,0,1,0,560,0
30,671,2,1,50,8,0.0,1,0,1,2560.11,0,1,1,678,0
31,592,2,1,38,3,0.0,1,1,1,12905.89,1,1,2,983,1
32,666,2,0,36,6,0.0,2,1,0,176692.87,0,3,1,990,0
33,667,0,1,34,5,0.0,2,1,1,102908.63,0,4,2,927,0
34,850,2,1,36,6,0.0,2,0,1,41291.05,0,2,3,234,0
35,622,2,1,42,9,0.0,2,1,0,119127.06,0,5,3,884,0
36,577,0,0,30,8,92472.1,2,0,1,126434.61,0,4,3,569,0
37,555,2,1,21,1,0.0,2,0,0,103901.35,0,1,0,599,0
38,547,0,1,62,10,127738.75,2,1,1,85153.0,0,4,1,666,0
39,613,1,0,50,5,101242.98,2,1,0,12493.61,0,4,2,574,0
40,672,0,0,43,4,92599.55,2,1,1,167336.78,0,4,1,274,0
41,624,2,0,36,10,0.0,2,0,1,186180.42,0,5,1,230,0
42,698,2,0,50,1,0.0,4,1,0,88566.9,1,3,2,341,1
43,606,0,1,37,6,82373.94,1,0,0,172526.9,1,3,2,632,1
44,720,2,1,31,4,141356.47,1,0,0,137985.69,0,2,3,637,0
45,835,0,1,23,9,0.0,1,1,0,19793.73,1,4,3,955,1
46,771,2,0,47,3,72664.0,2,1,1,107874.39,0,4,1,862,0
47,811,0,0,47,3,123365.34,2,0,0,171995.34,0,4,1,601,0
48,734,1,1,33,5,121898.58,1,1,0,61829.89,0,4,2,659,0
49,548,2,1,33,6,0.0,1,1,1,31728.35,0,4,1,855,0
50,652,0,0,31,3,103696.97,3,0,0,155221.05,1,4,3,897,1
51,707,0,1,33,2,0.0,2,0,0,130866.95,0,4,1,993,0
52,605,1,0,56,1,74129.18,2,1,1,62199.78,1,1,2,969,1
53,623,0,0,34,9,0.0,1,1,0,24255.21,0,1,0,333,0
54,686,1,1,29,3,185379.02,1,1,0,64679.07,0,3,3,713,0
